Halaman,Judul,Tautan,Penulis,Tahun,Sitasi,Institusi
5005,PERANAN KPK (KOMISI PEMBERANTASAN KORUPSI) MENURUT UU NOMOR 30 TAHUN 2002 DALAM PEMBERANTASAN KORUPSI (TRIGGER MECHANISM) DI INDONESIA,https://scholar.google.com/scholar?q=+intitle:'PERANAN KPK (KOMISI PEMBERANTASAN KORUPSI) MENURUT UU NOMOR 30 TAHUN 2002 DALAM PEMBERANTASAN KORUPSI (TRIGGER MECHANISM) DI INDONESIA',"KMB AKBAR KJ, R Achmad, M Elvani
Sriwijaya University, 2006",2006,0,"Sriwijaya University, 2006"
5005,PENGEMBANGAN DESA WISATA MELALUI KONSEP COMMUNITY BASED TOURISM,https://scholar.google.com/scholar?q=+intitle:'PENGEMBANGAN DESA WISATA MELALUI KONSEP COMMUNITY BASED TOURISM',"IK Budayasa
Jurnal Gema 5 (2 Agustus), 773-780, 2017",2017,0,"Jurnal Gema 5 (2 Agustus), 773-780, 2017"
5005,Pendidikan Dan Pembelajaran Di Sekolah Rumah (Home Schooling) Suatu Tinjauan Teoritis Dan Praktis,https://scholar.google.com/scholar?q=+intitle:'Pendidikan Dan Pembelajaran Di Sekolah Rumah (Home Schooling) Suatu Tinjauan Teoritis Dan Praktis',"A Muhtadi
Artikel. Diambil pada tanggal",2014,5,Artikel. Diambil pada tanggal
5005,Papaya (Carica papaya L.) leaves extract as an inhibitor for brass in H,https://scholar.google.com/scholar?q=+intitle:'Papaya (Carica papaya L.) leaves extract as an inhibitor for brass in H',"E Marlianto, SU Rahayu, A Maghfirah, E Juli",2020,0,
5005,Analisis Retak Lentur Pada Balok Beton Bertulang Mutu Tinggi Yang Diperbaiki Dengan Injeksi Epoxy,https://scholar.google.com/scholar?q=+intitle:'Analisis Retak Lentur Pada Balok Beton Bertulang Mutu Tinggi Yang Diperbaiki Dengan Injeksi Epoxy',"FF Puspita, TB Aulia, M Afifuddin
Jurnal Teknik Sipil 1 (4), 831-844, 2018",2018,11,"Jurnal Teknik Sipil 1 (4), 831-844, 2018"
5005,Change to currency system in power of mamluk era (an empirical study whether commodity money or fiat money as a source of economic instability,https://scholar.google.com/scholar?q=+intitle:'Change to currency system in power of mamluk era (an empirical study whether commodity money or fiat money as a source of economic instability',"D Saharuddin
International Research Conference on Management and Businnes",0000,0,International Research Conference on Management and Businnes
5005,"PENGARUH AGENCY COST, INSIDER OWNERSHIP, INSTITUSIONAL OWNERSHIP, BLOCKHOLDER OWNERSHIP, BOARD COMMISSIONER SIZE DAN INDEPENDENT BOARD TERHADAP FINANCIAL DISTRESS (Studi Pada …","https://scholar.google.com/scholar?q=+intitle:'PENGARUH AGENCY COST, INSIDER OWNERSHIP, INSTITUSIONAL OWNERSHIP, BLOCKHOLDER OWNERSHIP, BOARD COMMISSIONER SIZE DAN INDEPENDENT BOARD TERHADAP FINANCIAL DISTRESS (Studi Pada …'","GS DESANTIO, IRD PANGESTUTI
Fakultas Ekonomika dan Bisnis",2016,0,Fakultas Ekonomika dan Bisnis
5005,Efektivitas LKS Berbasis Multipel Representasi dalam Meningkatkan Penguasaan Konsep Materi Larutan Elektrolit-Non Elektrolit,https://scholar.google.com/scholar?q=+intitle:'Efektivitas LKS Berbasis Multipel Representasi dalam Meningkatkan Penguasaan Konsep Materi Larutan Elektrolit-Non Elektrolit',"D Yuliana, RB Rudibyani, T Evkar
Jurnal Pendidikan dan Pembelajaran Kimia 7 (2), 1-13, 2018",2018,3,"Jurnal Pendidikan dan Pembelajaran Kimia 7 (2), 1-13, 2018"
5005,"Pengaruh pemakaian kelambu, kawat kasa dan kondisi geodemografis terhadap kejadian malaria di Kabupaten Batu Bara","https://scholar.google.com/scholar?q=+intitle:'Pengaruh pemakaian kelambu, kawat kasa dan kondisi geodemografis terhadap kejadian malaria di Kabupaten Batu Bara'","R Lubis, BJ Sinaga, E Mutiara
Jurnal Kesehatan Lingkungan Indonesia 20 (1), 53-58, 2021",2021,27,"Jurnal Kesehatan Lingkungan Indonesia 20 (1), 53-58, 2021"
5005,THE IMPLEMENTATION OF PROJECT BASED LEARNING TO INCULCATE THE STUDENTS'LIFE SKILL IN SPEAKING FOR INFORMAL COMMUNICATION AT UNIVERSITY OF NUSANTARA PGRI KEDIRI,https://scholar.google.com/scholar?q=+intitle:'THE IMPLEMENTATION OF PROJECT BASED LEARNING TO INCULCATE THE STUDENTS'LIFE SKILL IN SPEAKING FOR INFORMAL COMMUNICATION AT UNIVERSITY OF NUSANTARA PGRI KEDIRI',"R Setiawan, D Kencanawati, D Nurhajati
Universitas Nusantara PGRI Kediri, 2020",2020,0,"Universitas Nusantara PGRI Kediri, 2020"
5006,The Development and Dynamics of Pesantren in Banten,https://scholar.google.com/scholar?q=+intitle:'The Development and Dynamics of Pesantren in Banten',"R Rohman
Kawalu: Journal of Local Culture 10 (01), 1-28, 2023",2023,0,"Kawalu: Journal of Local Culture 10 (01), 1-28, 2023"
5006,Nomor 40 Tahun 2007,https://scholar.google.com/scholar?q=+intitle:'Nomor 40 Tahun 2007',"N Binoto, HPTB Undang-Undang
Penerbit Aksara, Jakarta, 2014",2014,13,"Penerbit Aksara, Jakarta, 2014"
5006,WBopt,https://scholar.google.com/scholar?q=+intitle:'WBopt',"D Helmi, DIAA Munawar
ID Patent 000,255,931, 2021",2021,0,"ID Patent 000,255,931, 2021"
5006,Peranan Mahasiswa Kukerta Universitas Riau 2022 dalam Peningkatan Potensi Warga Dusun IV Sumber Makmur pada Program Kampung Iklim (Proklim),https://scholar.google.com/scholar?q=+intitle:'Peranan Mahasiswa Kukerta Universitas Riau 2022 dalam Peningkatan Potensi Warga Dusun IV Sumber Makmur pada Program Kampung Iklim (Proklim)',"R Wardana, N Homsatun, SU Hasanah, RD Yezelkiel, DR Agusti, ...
Journal of Rural and Urban Community Empowerment 4 (1), 23-31, 2022",2022,1,"Journal of Rural and Urban Community Empowerment 4 (1), 23-31, 2022"
5006,Analisis disposisi matematis dan karakter kreatif mahasiswa melalui metode mind mapping pada mata kuliah Matematika Dasar,https://scholar.google.com/scholar?q=+intitle:'Analisis disposisi matematis dan karakter kreatif mahasiswa melalui metode mind mapping pada mata kuliah Matematika Dasar',"F Rizki Amalia
Pros. SemNas. Peningkatan Mutu Pendidikan 1 (Pendidikan matematika), 270-275, 2019",2019,0,"Pros. SemNas. Peningkatan Mutu Pendidikan 1 (Pendidikan matematika), 270-275, 2019"
5006,Nilai Pendidikan Dalam Upacara Tradisi Haul Semangkin Di Desa Mayong Lor Kecamatan Mayong Kabupaten Jepara,https://scholar.google.com/scholar?q=+intitle:'Nilai Pendidikan Dalam Upacara Tradisi Haul Semangkin Di Desa Mayong Lor Kecamatan Mayong Kabupaten Jepara',"S Widagdo, ED Kurnia
Lingua: Jurnal Bahasa dan Sastra 10 (1), 2014",2014,11,"Lingua: Jurnal Bahasa dan Sastra 10 (1), 2014"
5006,PENERAPAN MODEL PEMBELAJARAN KOOPERATIF TIPE NHT UNTUK MENINGKATKAN HASIL BELAJAR SISWA KELAS VII KHANTI SMP KARUNA DIPA PADA MATERI ARITMETIKA SOSIAL,https://scholar.google.com/scholar?q=+intitle:'PENERAPAN MODEL PEMBELAJARAN KOOPERATIF TIPE NHT UNTUK MENINGKATKAN HASIL BELAJAR SISWA KELAS VII KHANTI SMP KARUNA DIPA PADA MATERI ARITMETIKA SOSIAL',"VR ATTHACARIYA
Universitas Tadulako, 2020",2020,0,"Universitas Tadulako, 2020"
5006,Hubungan antara tekanan darah sistolik dengan kadar HbA1c pada pasien diabetes mellitus tipe 2 di Klinik Arafah Lampung Tengah,https://scholar.google.com/scholar?q=+intitle:'Hubungan antara tekanan darah sistolik dengan kadar HbA1c pada pasien diabetes mellitus tipe 2 di Klinik Arafah Lampung Tengah',"R Arania, E Firhat, ARH Tusi Triwahyuni
Journal Medika Malahayati 5, 2021",2021,1,"Journal Medika Malahayati 5, 2021"
5006,"Kampus III Jl. Gajah Mada No. 19, Gunung Pangilun, Padang, Sumatera Barat, Indonesia","https://scholar.google.com/scholar?q=+intitle:'Kampus III Jl. Gajah Mada No. 19, Gunung Pangilun, Padang, Sumatera Barat, Indonesia'","M Zoni, AS Rohman",0000,0,
5006,Strategi Gamifikasi pada Mata Kuliah Kewirausahaan Prodi PGMI UNISDA,https://scholar.google.com/scholar?q=+intitle:'Strategi Gamifikasi pada Mata Kuliah Kewirausahaan Prodi PGMI UNISDA',"NBS Wangi, FN Fahmi, DI Afidah
MIDA: Jurnal Pendidikan Dasar Islam 2 (2), 9-20, 2019",2019,7,"MIDA: Jurnal Pendidikan Dasar Islam 2 (2), 9-20, 2019"
5007,Analisis Faktor yang Mempengaruhi Implementasi Pelayanan Kefarmasian Puskesmas di Kota Semarang,https://scholar.google.com/scholar?q=+intitle:'Analisis Faktor yang Mempengaruhi Implementasi Pelayanan Kefarmasian Puskesmas di Kota Semarang',"AI Pratiwi, A Fudholi, S Satibi
Majalah Farmaseutik 17 (1), 1-8, 2021",2021,7,"Majalah Farmaseutik 17 (1), 1-8, 2021"
5007,PENGEMBANGAN MEDIA KAIN FLANEL MASGHUL HIJAIYYAH UNTUK MENINGKATKAN KEMAMPUAN MEMBACA IQRA’ANAK USIA DINI DI PAUD AL-AMIN KOTA BENGKULU,https://scholar.google.com/scholar?q=+intitle:'PENGEMBANGAN MEDIA KAIN FLANEL MASGHUL HIJAIYYAH UNTUK MENINGKATKAN KEMAMPUAN MEMBACA IQRA’ANAK USIA DINI DI PAUD AL-AMIN KOTA BENGKULU',"R Rina
UIN FAS Bengkulu, 0",0000,0,"UIN FAS Bengkulu, 0"
5007,Credit Restructuring for Bank Debtors Affected by the Covid 19 Pandemic,https://scholar.google.com/scholar?q=+intitle:'Credit Restructuring for Bank Debtors Affected by the Covid 19 Pandemic',"S Hariadi, FA Novita
19th International Symposium on Management (INSYMA 2022), 85-89, 2022",2022,0,"19th International Symposium on Management (INSYMA 2022), 85-89, 2022"
5007,ECL SEBAGAI MODEL PEMBELAJARAN BARU UNTUK MENINGKATKAN HASIL BELAJAR KIMIA SISWA SMA DI KOTA SURAKARTA MENUJU OPEN EDUCATION RESOURCES,https://scholar.google.com/scholar?q=+intitle:'ECL SEBAGAI MODEL PEMBELAJARAN BARU UNTUK MENINGKATKAN HASIL BELAJAR KIMIA SISWA SMA DI KOTA SURAKARTA MENUJU OPEN EDUCATION RESOURCES',NYIB Mulyani,0000,0,
5007,Analisis Kebutuhan Traktor Berdasarkan Ketersediaan Air pada Subak di Kabupaten Tabanan,https://scholar.google.com/scholar?q=+intitle:'Analisis Kebutuhan Traktor Berdasarkan Ketersediaan Air pada Subak di Kabupaten Tabanan',"IGB Tikawa, IW Tika, IBP Gunadnya
Jurnal BETA (Biosistem Dan Teknik Pertanian) 8 (2), 329, 2020",2020,2,"Jurnal BETA (Biosistem Dan Teknik Pertanian) 8 (2), 329, 2020"
5007,Pembuatan Briket Arang dari Limbah Batang Tembakau,https://scholar.google.com/scholar?q=+intitle:'Pembuatan Briket Arang dari Limbah Batang Tembakau',"S Purwono, BA Simanjuntak, P Probosejati
Seminar Nasional Rekayasa Kimia dan Proses. Universitas Diponegoro. Semarang …, 2011",2011,2,"Seminar Nasional Rekayasa Kimia dan Proses. Universitas Diponegoro. Semarang …, 2011"
5007,PENGARUH TERAPI TEKNIK PERNAPASAN BUTEYKOTERHADAP PENURUNAN FREKUENSI KEKAMBUHANPADA PASIEN ASMA,https://scholar.google.com/scholar?q=+intitle:'PENGARUH TERAPI TEKNIK PERNAPASAN BUTEYKOTERHADAP PENURUNAN FREKUENSI KEKAMBUHANPADA PASIEN ASMA',"HJP Wijonarko¹
Jurnal Keperawatan Bunda Delima 4 (periode Februari 2022), 21-27, 2022",2022,1,"Jurnal Keperawatan Bunda Delima 4 (periode Februari 2022), 21-27, 2022"
5007,Perbedaan Minat Belajar Siswa Antara Yang Menggunakan Alat Peraga Dengan Yang Tidak Menggunakan Alat Peraga Pada Mata Pelajaran Matematika Di Mts Al Washliyah Kecamatan Talun …,https://scholar.google.com/scholar?q=+intitle:'Perbedaan Minat Belajar Siswa Antara Yang Menggunakan Alat Peraga Dengan Yang Tidak Menggunakan Alat Peraga Pada Mata Pelajaran Matematika Di Mts Al Washliyah Kecamatan Talun …',MSMU Darwan,2012,1,
5007,"AKTIVITAS FISIK PADA LANSIA MENINGKATKAN FUNGSI KOGNITIF, KESEIMBANGAN, DAN KUALITAS HIDUP: STUDI EKSPERIMENTAL DI JAKARTA","https://scholar.google.com/scholar?q=+intitle:'AKTIVITAS FISIK PADA LANSIA MENINGKATKAN FUNGSI KOGNITIF, KESEIMBANGAN, DAN KUALITAS HIDUP: STUDI EKSPERIMENTAL DI JAKARTA'","YS Handajani, NT Widjaja, Y Turana, PK Sasmita",0000,0,
5007,RANCANGAN WEB APLIKASI KONVERSI DATA ASTERIX MENGGUNAKAN ARDUINO,https://scholar.google.com/scholar?q=+intitle:'RANCANGAN WEB APLIKASI KONVERSI DATA ASTERIX MENGGUNAKAN ARDUINO',"NS Prastiwi, BB Harianto, M Maharani
Prosiding SNITP (Seminar Nasional Inovasi Teknologi Penerbangan) 7 (1), 2023",2023,0,"Prosiding SNITP (Seminar Nasional Inovasi Teknologi Penerbangan) 7 (1), 2023"
5008,Identification Of Benefits From Desktop Virtualization Implementation Using IS/IT Buiness Value Ranti's Generic Model (A Case Study At Ukrida's Computer Laboratory),https://scholar.google.com/scholar?q=+intitle:'Identification Of Benefits From Desktop Virtualization Implementation Using IS/IT Buiness Value Ranti's Generic Model (A Case Study At Ukrida's Computer Laboratory)',"Marcel
Teknik dan Ilmu Komputer 6 (22), 2017",2017,13,"Teknik dan Ilmu Komputer 6 (22), 2017"
5008,Double-sampling regression-cum-exponential estimator of the mean of a sensitive variable,https://scholar.google.com/scholar?q=+intitle:'Double-sampling regression-cum-exponential estimator of the mean of a sensitive variable',"I Saleem, A Sanaullah, M Hanif
Mathematical Population Studies 26 (3), 163-182, 2019",2019,15,"Mathematical Population Studies 26 (3), 163-182, 2019"
5008,PERAN MAHASISWA KAMPUS MENGAJAR ANGKATAN 2 DI SD NEGERI 101954 PANTAI CERMIN,https://scholar.google.com/scholar?q=+intitle:'PERAN MAHASISWA KAMPUS MENGAJAR ANGKATAN 2 DI SD NEGERI 101954 PANTAI CERMIN',"I Sihombing, FMA Simorangkir
Prosiding Konferensi Nasional Pengabdian Kepada Masyarakat dan Corporate …, 2023",2023,0,"Prosiding Konferensi Nasional Pengabdian Kepada Masyarakat dan Corporate …, 2023"
